0.05023,35.0,6.06,0.0,0.4379,5.706,28.4,6.6407,1,304,16.9,394.02,12.43,10
0.05083,0.0,5.19,0.0,0.515,6.316,38.1,6.4584,5,224,20.2,389.71,5.68,20
0.03738,0.0,5.19,0.0,0.515,6.31,38.5,6.4584,5,224,20.2,389.4,6.75,20
0.03961,0.0,5.19,0.0,0.515,6.037,34.5,5.9853,5,224,20.2,396.9,8.01,20
0.03427,0.0,5.19,0.0,0.515,5.869,46.3,5.2311,5,224,20.2,396.9,9.8,10
0.03041,0.0,5.19,0.0,0.515,5.895,59.6,5.615,5,224,20.2,394.81,10.56,10
0.03306,0.0,5.19,0.0,0.515,6.059,37.3,4.8122,5,224,20.2,396.14,8.51,20
0.05497,0.0,5.19,0.0,0.515,5.985,45.4,4.8122,5,224,20.2,396.9,9.74,10
0.06151,0.0,5.19,0.0,0.515,5.968,58.5,4.8122,5,224,20.2,396.9,9.29,10
0.01301,35.0,1.52,0.0,0.442,7.241,49.3,7.0379,1,284,15.5,394.74,5.49,30
0.02498,0.0,1.89,0.0,0.518,6.54,59.7,6.2669,1,422,15.9,389.96,8.65,10
0.02543,55.0,3.78,0.0,0.484,6.696,56.4,5.7321,5,370,17.6,396.9,7.18,20
0.03113,0.0,4.39,0.0,0.442,6.014,48.5,8.0136,3,352,18.8,385.64,10.53,10
0.06162,0.0,4.39,0.0,0.442,5.898,52.3,8.0136,3,352,18.8,364.61,12.67,10
0.0187,85.0,4.15,0.0,0.429,6.516,27.7,8.5353,4,351,17.9,392.43,6.36,20
0.01501,80.0,2.01,0.0,0.435,6.635,29.7,8.344,4,280,17.0,390.94,5.99,20
0.0795,60.0,1.69,0.0,0.411,6.579,35.9,10.7103,4,411,18.3,370.78,5.49,20
0.07244,60.0,1.69,0.0,0.411,5.884,18.5,10.7103,4,411,18.3,392.33,7.79,10
0.01709,90.0,2.02,0.0,0.41,6.728,36.1,12.1265,5,187,17.0,384.46,4.5,30
0.04301,80.0,1.91,0.0,0.413,5.663,21.9,10.5857,4,334,22.0,382.8,8.05,10
8.98296,0.0,18.1,1.0,0.77,6.212,97.4,2.1222,24,666,20.2,377.73,17.6,10
3.8497,0.0,18.1,1.0,0.77,6.395,91.0,2.5052,24,666,20.2,391.34,13.27,20
5.20177,0.0,18.1,1.0,0.77,6.127,83.4,2.7227,24,666,20.2,395.43,11.48,20
4.54192,0.0,18.1,0.0,0.77,6.398,88.0,2.5182,24,666,20.2,374.56,7.79,20
3.83684,0.0,18.1,0.0,0.77,6.251,91.1,2.2955,24,666,20.2,350.65,14.19,10
3.67822,0.0,18.1,0.0,0.77,5.362,96.2,2.1036,24,666,20.2,380.79,10.19,20
4.22239,0.0,18.1,1.0,0.77,5.803,89.0,1.9047,24,666,20.2,353.04,14.64,10
3.47428,0.0,18.1,1.0,0.718,8.78,82.9,1.9047,24,666,20.2,354.55,5.29,20
4.55587,0.0,18.1,0.0,0.718,3.561,87.9,1.6132,24,666,20.2,354.7,7.12,20
3.69695,0.0,18.1,0.0,0.718,4.963,91.4,1.7523,24,666,20.2,316.03,14.0,20
6.53876,0.0,18.1,1.0,0.631,7.016,97.5,1.2024,24,666,20.2,392.05,2.96,50
9.2323,0.0,18.1,0.0,0.631,6.216,100.0,1.1691,24,666,20.2,366.15,9.53,50
8.26725,0.0,18.1,1.0,0.668,5.875,89.6,1.1296,24,666,20.2,347.88,8.88,50
11.1081,0.0,18.1,0.0,0.668,4.906,100.0,1.1742,24,666,20.2,396.9,34.77,10
18.4982,0.0,18.1,0.0,0.668,4.138,100.0,1.137,24,666,20.2,396.9,37.97,10
9.82349,0.0,18.1,0.0,0.671,6.794,98.8,1.358,24,666,20.2,396.9,21.24,10
23.6482,0.0,18.1,0.0,0.671,6.38,96.2,1.3861,24,666,20.2,396.9,23.69,10